State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Number_of_death
Madhya Pradesh,Unknown,2023,November,Wednesday,03:54,Minor,4,Pedestrian,2,4,Hazy,National Highway,Damaged,Dawn,Signs,107,51,Male,Valid,Yes,Curve,21.73140866,94.90481621,2
Chhattisgarh,Unknown,2023,September,Sunday,11:27,Fatal,4,Cycle,0,1,Rainy,Urban Road,Wet,Dawn,Signs,77,62,Female,Valid,No,Bridge,32.5042948,96.85232686,1
Puducherry,Unknown,2022,December,Monday,15:40,Minor,1,Auto-Rickshaw,1,3,Foggy,State Highway,Dry,Dusk,Signals,75,64,Male,None,Yes,Intersection,14.73089019,73.04296223,7
Chandigarh,Unknown,2023,May,Tuesday,16:59,Minor,4,Two-Wheeler,3,4,Clear,National Highway,Dry,Daylight,Signs,44,25,Female,Valid,Yes,Bridge,19.08033892,79.49101855,7
Arunachal Pradesh,Unknown,2022,August,Tuesday,02:47,Minor,4,Truck,0,3,Foggy,Village Road,Wet,Dawn,Signals,103,27,Female,Valid,Yes,Curve,28.39988074,89.9889158,2
Uttarakhand,Unknown,2020,December,Thursday,01:13,Serious,3,Cycle,1,3,Rainy,National Highway,Under Construction,Dawn,None,94,51,Female,None,No,Curve,14.17755047,88.18459792,8
Odisha,Unknown,2021,July,Monday,15:16,Serious,4,Two-Wheeler,9,4,Rainy,National Highway,Dry,Dawn,Signals,43,30,Female,Valid,Yes,Bridge,10.07845757,72.46298128,7
Arunachal Pradesh,Unknown,2021,July,Monday,19:06,Minor,3,Truck,8,4,Foggy,Urban Road,Under Construction,Dark,Signals,105,48,Male,Expired,No,Straight Road,15.82328923,91.65916062,1
Meghalaya,Unknown,2019,June,Monday,05:36,Serious,3,Cycle,9,2,Stormy,State Highway,Damaged,Daylight,None,47,33,Female,None,No,Bridge,12.35297476,74.50877658,7
Nagaland,Unknown,2023,December,Wednesday,06:41,Minor,2,Bus,6,2,Clear,State Highway,Damaged,Daylight,Signs,43,32,Male,Expired,Yes,Intersection,33.10183661,74.49071083,9
Mizoram,Unknown,2020,January,Friday,20:31,Minor,4,Cycle,1,1,Hazy,Village Road,Wet,Dusk,Signals,43,61,Female,Expired,Yes,Curve,29.81925025,83.57225826,4
Meghalaya,Unknown,2019,May,Friday,14:09,Minor,5,Pedestrian,1,2,Foggy,Village Road,Dry,Dawn,None,62,28,Female,None,Yes,Curve,25.10190143,85.19525811,5
Haryana,Unknown,2022,October,Monday,03:40,Fatal,3,Bus,9,5,Foggy,State Highway,Dry,Dark,None,87,22,Female,Valid,Yes,Curve,31.52943594,84.82250003,2
Andhra Pradesh,Tirupati,2022,December,Sunday,21:42,Fatal,5,Auto-Rickshaw,4,0,Hazy,National Highway,Dry,Dusk,Signs,59,59,Male,Valid,No,Curve,29.69914608,70.65311828,2
Uttarakhand,Unknown,2019,March,Monday,03:10,Fatal,1,Bus,1,2,Clear,Urban Road,Wet,Dark,None,38,36,Female,None,Yes,Curve,13.03739159,93.44636502,3
Bihar,Unknown,2022,August,Monday,22:19,Fatal,1,Truck,3,3,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,58,22,Male,None,No,Curve,32.09909296,75.70240124,8
Sikkim,Unknown,2018,February,Wednesday,03:06,Serious,3,Car,3,0,Clear,National Highway,Dry,Dark,None,70,46,Male,None,Yes,Straight Road,22.56224053,71.75593272,3
Bihar,Unknown,2022,November,Wednesday,20:02,Fatal,4,Auto-Rickshaw,6,2,Hazy,Urban Road,Under Construction,Dark,Signals,61,67,Female,Valid,Yes,Intersection,29.80088419,93.77369432,8
Bihar,Unknown,2018,May,Saturday,21:26,Serious,2,Cycle,8,5,Foggy,State Highway,Wet,Dark,None,86,48,Male,Valid,Yes,Intersection,32.1944651,95.71389345,1
Uttar Pradesh,Kanpur,2021,May,Wednesday,09:39,Fatal,4,Truck,3,5,Clear,Village Road,Wet,Dark,Police Checkpost,109,43,Female,Expired,No,Intersection,16.58609382,93.0017009,7
Meghalaya,Unknown,2021,January,Saturday,17:04,Minor,1,Truck,1,0,Rainy,National Highway,Under Construction,Daylight,Police Checkpost,101,41,Male,Valid,No,Intersection,10.97140196,91.47596617,3
Punjab,Unknown,2023,August,Wednesday,13:16,Minor,1,Cycle,10,4,Hazy,National Highway,Dry,Dark,Signals,99,54,Female,Valid,Yes,Intersection,14.15424939,87.00201744,8
Haryana,Unknown,2018,December,Sunday,16:46,Serious,1,Bus,6,1,Rainy,Village Road,Damaged,Dark,Signals,92,18,Male,Expired,No,Bridge,19.53191029,83.97486375,2
Kerala,Unknown,2021,March,Friday,05:42,Serious,4,Auto-Rickshaw,2,4,Rainy,Village Road,Dry,Dark,Police Checkpost,107,67,Female,None,Yes,Curve,30.08639868,70.52261604,2
Chhattisgarh,Unknown,2018,October,Wednesday,19:31,Serious,2,Bus,8,4,Rainy,State Highway,Dry,Dawn,Signs,31,52,Female,Valid,No,Intersection,31.23972575,79.84514318,6
Karnataka,Mangalore,2021,March,Thursday,08:12,Minor,4,Pedestrian,10,2,Rainy,State Highway,Damaged,Daylight,Police Checkpost,108,28,Male,None,Yes,Intersection,8.187707524,78.80796699,8
Jammu and Kashmir,Unknown,2019,August,Saturday,13:29,Minor,1,Truck,5,1,Foggy,State Highway,Wet,Dark,Signs,87,21,Female,Valid,Yes,Bridge,21.79017717,75.53285973,8
Mizoram,Unknown,2023,October,Friday,23:46,Fatal,5,Cycle,10,3,Foggy,National Highway,Under Construction,Daylight,Police Checkpost,96,44,Male,None,No,Intersection,19.27009709,88.9791833,7
Chhattisgarh,Unknown,2022,March,Tuesday,22:41,Serious,4,Two-Wheeler,1,5,Clear,State Highway,Wet,Dusk,Signals,79,25,Male,None,Yes,Curve,13.99691088,82.38039632,4
Odisha,Unknown,2023,November,Sunday,12:32,Fatal,1,Cycle,7,5,Foggy,Village Road,Under Construction,Dusk,Police Checkpost,46,51,Female,Valid,No,Straight Road,11.23636492,70.35034026,7
Bihar,Unknown,2019,August,Sunday,08:27,Serious,2,Bus,9,1,Rainy,National Highway,Wet,Dark,None,58,46,Male,None,Yes,Intersection,17.11560963,74.38531286,2
Arunachal Pradesh,Unknown,2020,November,Monday,18:53,Fatal,4,Bus,5,5,Stormy,Village Road,Wet,Daylight,Signals,56,18,Male,None,No,Curve,33.45856201,87.81450415,8
Jammu and Kashmir,Unknown,2022,June,Monday,21:24,Serious,1,Bus,2,1,Stormy,Village Road,Damaged,Dawn,Signals,70,25,Female,Valid,Yes,Bridge,16.72647916,70.20779493,9
Punjab,Unknown,2021,June,Sunday,01:06,Minor,5,Car,10,5,Stormy,National Highway,Under Construction,Daylight,Signals,118,26,Female,Expired,Yes,Straight Road,22.00734679,92.68500051,2
Karnataka,Bangalore,2023,December,Tuesday,02:52,Fatal,5,Auto-Rickshaw,7,1,Foggy,Village Road,Dry,Dark,None,43,40,Female,None,Yes,Bridge,26.98151189,82.35924928,4
Haryana,Unknown,2022,September,Wednesday,15:55,Minor,4,Two-Wheeler,1,2,Rainy,Urban Road,Wet,Dusk,Signals,56,69,Male,None,No,Curve,17.81799926,81.93701074,4
Odisha,Unknown,2021,February,Saturday,13:31,Serious,1,Truck,3,0,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,102,58,Female,Valid,No,Straight Road,34.23811623,85.17982576,2
Bihar,Unknown,2018,April,Friday,14:08,Fatal,2,Bus,8,3,Rainy,Village Road,Under Construction,Dark,None,118,52,Female,Valid,No,Straight Road,33.98607696,91.91574801,7
Goa,Unknown,2020,April,Thursday,09:42,Serious,4,Auto-Rickshaw,6,3,Hazy,Urban Road,Under Construction,Dusk,Signs,114,45,Female,Expired,Yes,Straight Road,14.79812199,78.08646703,9
Bihar,Unknown,2023,March,Thursday,17:09,Fatal,3,Pedestrian,10,2,Hazy,Urban Road,Wet,Dawn,Signs,105,57,Male,None,Yes,Curve,21.42570966,87.66246842,3
Telangana,Unknown,2020,October,Friday,14:54,Fatal,5,Car,1,3,Hazy,State Highway,Dry,Dawn,Police Checkpost,116,65,Female,None,Yes,Intersection,16.12371437,84.40622696,7
West Bengal,Siliguri,2023,January,Thursday,07:57,Fatal,4,Pedestrian,2,4,Foggy,National Highway,Under Construction,Dusk,Signals,88,23,Male,Expired,Yes,Bridge,15.69069335,75.74381983,1
Goa,Unknown,2019,July,Friday,17:47,Serious,5,Truck,5,4,Foggy,National Highway,Wet,Daylight,Signals,75,32,Female,Valid,Yes,Intersection,8.995947579,93.4802696,6
West Bengal,Durgapur,2023,September,Friday,09:42,Minor,4,Auto-Rickshaw,10,4,Hazy,Urban Road,Dry,Dark,Police Checkpost,77,32,Female,Expired,Yes,Curve,24.45823702,91.12535463,7
West Bengal,Siliguri,2018,November,Friday,20:31,Fatal,3,Cycle,0,5,Stormy,Urban Road,Wet,Dark,Signs,105,19,Female,None,No,Curve,21.57233363,87.09510321,9
Delhi,Dwarka,2018,December,Tuesday,18:52,Fatal,2,Bus,10,5,Hazy,National Highway,Damaged,Dusk,Signs,109,62,Male,None,No,Intersection,9.389926284,92.66687014,7
Arunachal Pradesh,Unknown,2023,August,Thursday,17:45,Fatal,1,Truck,1,2,Stormy,National Highway,Damaged,Dusk,None,87,31,Female,None,Yes,Bridge,15.52345453,93.15153183,2
Bihar,Unknown,2019,February,Thursday,12:41,Minor,1,Truck,5,2,Foggy,Village Road,Damaged,Dusk,None,96,21,Female,None,Yes,Bridge,32.52317892,88.54252632,7
Uttarakhand,Unknown,2023,May,Saturday,06:57,Fatal,5,Auto-Rickshaw,8,0,Rainy,National Highway,Dry,Dusk,Police Checkpost,61,22,Male,None,Yes,Intersection,14.46817105,92.27338652,8
Himachal Pradesh,Unknown,2020,March,Monday,06:27,Minor,2,Cycle,2,3,Clear,Urban Road,Wet,Daylight,Police Checkpost,98,54,Male,Valid,No,Bridge,11.91216155,88.22667239,6
Meghalaya,Unknown,2020,July,Saturday,22:32,Minor,5,Cycle,2,5,Rainy,National Highway,Under Construction,Dark,None,91,48,Female,Expired,Yes,Intersection,21.21522453,87.72408238,8
Uttar Pradesh,Kanpur,2021,April,Sunday,12:06,Serious,3,Car,0,3,Clear,Urban Road,Wet,Dusk,None,82,21,Female,Valid,Yes,Curve,34.61256226,85.93972997,3
Arunachal Pradesh,Unknown,2022,November,Tuesday,18:17,Serious,4,Cycle,6,0,Stormy,Village Road,Under Construction,Dark,Signals,112,47,Male,Expired,Yes,Curve,14.53549233,89.82878255,1
Tripura,Unknown,2020,January,Monday,05:34,Minor,2,Bus,7,4,Clear,Urban Road,Under Construction,Dusk,Signs,105,60,Female,Expired,Yes,Curve,26.14765978,72.59954805,3
Andhra Pradesh,Visakhapatnam,2018,August,Wednesday,20:44,Minor,5,Auto-Rickshaw,7,2,Hazy,Urban Road,Damaged,Dawn,None,112,43,Female,None,No,Curve,28.56372961,93.54525202,5
Telangana,Unknown,2019,July,Wednesday,07:58,Fatal,3,Auto-Rickshaw,10,0,Clear,Village Road,Dry,Daylight,Signs,37,44,Male,Valid,No,Curve,14.41621369,93.2834623,1
Assam,Unknown,2020,November,Monday,07:34,Serious,3,Truck,4,2,Clear,National Highway,Damaged,Dark,Police Checkpost,42,25,Female,Expired,Yes,Curve,27.66184141,68.84817121,4
Maharashtra,Mumbai,2021,November,Wednesday,07:24,Fatal,4,Cycle,2,4,Clear,National Highway,Under Construction,Dusk,Signals,35,41,Male,Valid,Yes,Intersection,17.93014458,91.94868577,6
Jammu and Kashmir,Unknown,2022,September,Monday,00:48,Fatal,4,Truck,2,5,Foggy,State Highway,Damaged,Dusk,Police Checkpost,54,58,Male,Valid,Yes,Intersection,25.07225743,71.73722616,1
Rajasthan,Jodhpur,2022,November,Monday,19:50,Minor,4,Truck,3,3,Hazy,Village Road,Damaged,Dark,Signs,54,59,Female,Valid,No,Bridge,25.10530219,77.71844677,9
Jammu and Kashmir,Unknown,2023,November,Wednesday,03:05,Minor,5,Truck,7,2,Clear,Urban Road,Damaged,Dark,None,114,19,Male,Expired,No,Straight Road,22.46591647,89.56173943,8
Arunachal Pradesh,Unknown,2018,November,Friday,13:27,Fatal,5,Truck,8,5,Hazy,Urban Road,Wet,Dawn,Police Checkpost,86,55,Female,Expired,No,Straight Road,10.43782379,72.66203699,6
Chandigarh,Unknown,2019,October,Tuesday,14:20,Serious,4,Two-Wheeler,8,4,Hazy,National Highway,Under Construction,Daylight,Signs,71,33,Male,Valid,No,Curve,30.55316738,91.7210437,5
Nagaland,Unknown,2021,November,Friday,18:01,Serious,4,Cycle,0,4,Rainy,Urban Road,Dry,Dawn,Police Checkpost,76,46,Male,None,No,Bridge,16.66106175,92.13189116,4
Jharkhand,Unknown,2019,August,Friday,20:32,Serious,4,Truck,6,2,Foggy,Urban Road,Under Construction,Dawn,Signs,84,62,Female,None,Yes,Curve,13.03599978,82.71656428,2
Haryana,Unknown,2018,April,Friday,04:34,Minor,2,Truck,7,1,Hazy,Urban Road,Under Construction,Daylight,Signs,42,62,Male,Expired,Yes,Straight Road,9.100928822,68.18519028,1
Jammu and Kashmir,Unknown,2023,March,Tuesday,06:39,Minor,5,Car,9,2,Hazy,Village Road,Wet,Dusk,Police Checkpost,46,52,Female,None,No,Bridge,23.95410947,76.32410586,8
Uttarakhand,Unknown,2021,February,Wednesday,08:58,Minor,3,Pedestrian,10,3,Foggy,National Highway,Damaged,Dusk,Signs,65,43,Male,None,Yes,Intersection,26.29423777,85.89088063,6
Sikkim,Unknown,2022,August,Wednesday,23:00,Serious,4,Car,5,3,Hazy,Village Road,Under Construction,Dark,None,80,22,Female,Expired,Yes,Curve,8.447871381,96.45439916,4
Assam,Unknown,2022,May,Thursday,03:05,Fatal,5,Pedestrian,10,0,Stormy,National Highway,Dry,Dusk,Signs,60,27,Male,Valid,Yes,Intersection,21.82651257,86.32259228,4
Maharashtra,Nagpur,2019,August,Thursday,19:13,Fatal,4,Bus,3,3,Rainy,Urban Road,Wet,Dawn,Signals,64,39,Male,None,Yes,Straight Road,14.11538593,75.53430385,6
Chandigarh,Unknown,2023,July,Monday,23:00,Minor,2,Auto-Rickshaw,7,2,Foggy,State Highway,Damaged,Dark,Police Checkpost,100,22,Male,Expired,No,Straight Road,25.41966534,86.38616539,7
Tamil Nadu,Chennai,2023,April,Friday,21:17,Fatal,3,Car,2,2,Stormy,State Highway,Dry,Dark,Signals,100,63,Female,Valid,Yes,Bridge,12.70789358,83.65957601,4
Assam,Unknown,2022,June,Saturday,21:29,Minor,5,Pedestrian,10,2,Stormy,State Highway,Wet,Dawn,Signs,61,19,Male,Expired,No,Curve,26.65531893,90.61551646,4
Uttar Pradesh,Varanasi,2018,May,Tuesday,13:24,Minor,3,Pedestrian,1,1,Hazy,National Highway,Damaged,Dawn,None,34,58,Male,None,No,Straight Road,18.44185435,71.10243853,9
Chhattisgarh,Unknown,2023,April,Sunday,22:11,Minor,4,Auto-Rickshaw,4,2,Foggy,Urban Road,Under Construction,Dawn,None,67,58,Female,None,No,Straight Road,33.2917097,90.06980917,2
Andhra Pradesh,Tirupati,2023,October,Tuesday,03:58,Fatal,4,Cycle,0,2,Rainy,Urban Road,Damaged,Dawn,Police Checkpost,35,41,Male,Valid,No,Intersection,11.71306549,83.69673078,7
Goa,Unknown,2022,March,Thursday,00:54,Minor,2,Bus,9,0,Hazy,National Highway,Dry,Dusk,Police Checkpost,115,59,Female,None,No,Intersection,17.20879148,95.92676811,5
Tamil Nadu,Chennai,2018,January,Tuesday,13:21,Minor,4,Two-Wheeler,0,1,Foggy,Urban Road,Under Construction,Daylight,None,69,27,Female,Valid,No,Bridge,11.06378507,77.91429282,6
Chhattisgarh,Unknown,2018,April,Thursday,06:35,Minor,1,Auto-Rickshaw,8,1,Hazy,Urban Road,Under Construction,Dawn,Signals,75,41,Male,Expired,Yes,Straight Road,32.96672769,86.3460349,2
Nagaland,Unknown,2020,November,Friday,20:15,Fatal,4,Cycle,6,3,Stormy,State Highway,Wet,Daylight,Signals,33,57,Female,None,Yes,Straight Road,31.68816254,95.02881506,3
Himachal Pradesh,Unknown,2021,November,Monday,07:04,Serious,4,Auto-Rickshaw,0,5,Foggy,State Highway,Damaged,Dark,Police Checkpost,71,21,Female,None,No,Intersection,14.96442395,70.97278211,5
Puducherry,Unknown,2022,January,Sunday,02:13,Minor,2,Truck,7,3,Hazy,Village Road,Damaged,Daylight,Signals,34,31,Female,None,No,Intersection,25.81956924,95.17962613,7
Puducherry,Unknown,2023,October,Thursday,10:36,Minor,2,Pedestrian,8,1,Clear,Urban Road,Dry,Dusk,Police Checkpost,44,51,Male,Valid,Yes,Intersection,30.06499941,87.94868595,4
Puducherry,Unknown,2018,May,Saturday,17:09,Minor,1,Pedestrian,0,1,Rainy,Village Road,Damaged,Dawn,Signals,88,21,Male,Valid,No,Intersection,22.99042191,69.96727471,6
Jammu and Kashmir,Unknown,2020,July,Friday,02:46,Minor,3,Two-Wheeler,10,0,Stormy,Urban Road,Wet,Dusk,None,114,60,Female,Valid,Yes,Intersection,22.30056562,76.72794344,4
Delhi,Rohini,2018,June,Wednesday,04:48,Fatal,1,Bus,0,0,Stormy,National Highway,Damaged,Dawn,Police Checkpost,100,40,Female,Valid,No,Bridge,14.53001185,88.53699057,6
Uttarakhand,Unknown,2019,April,Friday,12:40,Minor,4,Cycle,7,5,Clear,State Highway,Dry,Dusk,Police Checkpost,111,69,Male,None,Yes,Intersection,10.51377473,69.95316744,6
Goa,Unknown,2023,June,Monday,07:41,Fatal,1,Cycle,4,2,Hazy,Village Road,Wet,Dark,Signs,50,37,Male,Valid,No,Straight Road,32.22482546,84.88294335,3
Punjab,Unknown,2019,October,Sunday,15:23,Minor,2,Pedestrian,3,1,Stormy,Village Road,Dry,Dark,Police Checkpost,80,28,Female,Expired,No,Intersection,32.31128754,78.03060865,5
West Bengal,Siliguri,2019,April,Sunday,03:12,Minor,2,Bus,10,1,Foggy,National Highway,Under Construction,Dusk,None,55,20,Male,Expired,Yes,Bridge,25.09373935,86.00655002,4
Tripura,Unknown,2018,November,Saturday,09:30,Serious,5,Two-Wheeler,1,4,Rainy,National Highway,Damaged,Dusk,None,108,32,Female,None,No,Straight Road,17.15380436,69.32651898,5
Rajasthan,Udaipur,2023,April,Saturday,12:42,Serious,2,Bus,5,5,Stormy,National Highway,Dry,Daylight,Police Checkpost,46,51,Male,Valid,No,Intersection,17.42865851,93.27456738,5
Nagaland,Unknown,2022,November,Sunday,17:53,Serious,4,Pedestrian,1,5,Hazy,Village Road,Under Construction,Dawn,Signs,38,54,Female,Valid,Yes,Bridge,27.60080333,96.23118011,8
Rajasthan,Jaipur,2018,August,Friday,12:17,Fatal,3,Pedestrian,3,1,Foggy,National Highway,Dry,Dawn,None,98,49,Male,Valid,No,Curve,32.22197702,96.0974578,3
Arunachal Pradesh,Unknown,2023,August,Wednesday,23:40,Serious,1,Pedestrian,0,1,Stormy,National Highway,Wet,Dark,Signs,65,41,Female,Expired,No,Intersection,31.95133346,89.73990312,5
Punjab,Unknown,2022,October,Tuesday,08:15,Fatal,5,Car,1,5,Stormy,National Highway,Wet,Daylight,None,52,59,Female,Valid,No,Intersection,29.05663974,71.77250096,8
Himachal Pradesh,Unknown,2021,July,Tuesday,19:51,Fatal,5,Bus,8,3,Clear,Urban Road,Dry,Dusk,Signs,55,25,Female,None,No,Curve,25.33485445,89.98963268,3
Kerala,Unknown,2018,June,Wednesday,02:30,Fatal,4,Cycle,0,3,Stormy,Village Road,Damaged,Dusk,Police Checkpost,66,47,Male,None,No,Intersection,10.27177905,68.71302058,8
Uttarakhand,Unknown,2022,March,Saturday,10:42,Fatal,1,Bus,4,1,Clear,Village Road,Dry,Dawn,Signals,71,39,Male,Valid,Yes,Intersection,12.36397528,68.64158299,8
Chhattisgarh,Unknown,2019,April,Tuesday,21:21,Minor,5,Two-Wheeler,4,4,Stormy,National Highway,Wet,Daylight,None,56,21,Male,None,No,Curve,32.26096309,77.38469636,5
Rajasthan,Jaipur,2021,March,Sunday,04:50,Serious,5,Truck,9,2,Hazy,Urban Road,Damaged,Dusk,Signals,48,23,Male,None,No,Intersection,24.37358461,82.17065252,1
Kerala,Unknown,2018,August,Monday,13:44,Serious,3,Truck,5,2,Rainy,State Highway,Damaged,Dawn,None,81,57,Male,Expired,Yes,Curve,8.248320394,90.34181512,6
Tamil Nadu,Coimbatore,2018,August,Friday,16:37,Minor,4,Car,9,2,Foggy,Village Road,Under Construction,Daylight,None,75,41,Female,None,No,Intersection,10.73973166,87.81556592,2
Jharkhand,Unknown,2022,October,Monday,22:28,Minor,3,Auto-Rickshaw,2,5,Foggy,National Highway,Under Construction,Dawn,Signals,82,63,Female,Valid,No,Curve,25.91454777,80.93117848,8
Haryana,Unknown,2021,September,Wednesday,02:03,Fatal,4,Car,10,0,Hazy,Village Road,Dry,Dusk,Signals,86,51,Male,None,Yes,Straight Road,8.136662764,75.93517332,4
Maharashtra,Pune,2023,January,Monday,09:40,Minor,2,Two-Wheeler,8,0,Clear,National Highway,Under Construction,Dark,Signals,34,59,Female,Valid,Yes,Straight Road,12.34181739,96.9166105,4
Uttarakhand,Unknown,2023,May,Sunday,12:15,Serious,1,Car,3,2,Hazy,Urban Road,Damaged,Daylight,Signs,70,25,Female,Valid,Yes,Bridge,22.81581231,80.35925776,9
Rajasthan,Jodhpur,2020,November,Thursday,05:17,Serious,5,Auto-Rickshaw,6,1,Stormy,Village Road,Under Construction,Daylight,Police Checkpost,50,35,Male,Expired,No,Curve,26.68117034,81.09022371,3
Goa,Unknown,2021,August,Thursday,12:39,Minor,4,Car,9,4,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,36,57,Male,Valid,Yes,Intersection,25.60295401,72.74509081,4
Chhattisgarh,Unknown,2023,November,Wednesday,07:53,Serious,1,Truck,10,0,Foggy,National Highway,Wet,Dusk,Signals,47,24,Female,None,No,Bridge,14.05527136,91.04947691,3
Mizoram,Unknown,2021,December,Sunday,02:01,Fatal,4,Bus,4,2,Hazy,State Highway,Wet,Dusk,Police Checkpost,72,32,Female,None,Yes,Curve,27.22883898,88.11678455,4
Kerala,Unknown,2018,July,Sunday,02:55,Fatal,2,Bus,8,1,Rainy,National Highway,Damaged,Dark,Signs,89,61,Female,Valid,No,Intersection,14.40572536,74.40231877,6
Odisha,Unknown,2023,December,Saturday,17:51,Serious,1,Cycle,4,3,Rainy,National Highway,Dry,Dusk,Signs,48,46,Female,Valid,No,Straight Road,16.78579185,70.38905032,6
Uttar Pradesh,Kanpur,2019,March,Friday,22:01,Serious,1,Auto-Rickshaw,8,5,Rainy,Village Road,Under Construction,Dawn,Police Checkpost,57,40,Female,Expired,No,Bridge,28.15526794,87.73447976,8
Bihar,Unknown,2023,January,Wednesday,03:17,Fatal,1,Car,7,1,Stormy,National Highway,Damaged,Dusk,Signs,58,67,Female,Expired,No,Curve,25.54008827,86.98082521,2
Bihar,Unknown,2021,March,Thursday,22:33,Fatal,3,Truck,0,1,Rainy,Village Road,Under Construction,Dark,Police Checkpost,91,57,Female,Expired,Yes,Straight Road,30.92903208,75.92452628,6
Kerala,Unknown,2023,April,Saturday,10:38,Serious,4,Bus,7,3,Foggy,National Highway,Under Construction,Dawn,None,105,67,Female,Valid,No,Intersection,25.75554809,95.57504331,7
Sikkim,Unknown,2023,June,Friday,00:05,Minor,3,Two-Wheeler,9,4,Clear,National Highway,Wet,Daylight,Signs,59,26,Male,Expired,Yes,Intersection,23.34433229,72.38067886,9
Chandigarh,Unknown,2019,November,Tuesday,10:03,Serious,4,Bus,4,0,Clear,State Highway,Damaged,Dawn,None,49,31,Female,Expired,Yes,Bridge,10.52921873,80.53770923,8
West Bengal,Kolkata,2020,January,Thursday,23:52,Fatal,3,Pedestrian,9,3,Rainy,State Highway,Damaged,Dark,None,47,45,Male,Valid,Yes,Bridge,17.92832668,95.36486168,5
Meghalaya,Unknown,2020,January,Monday,20:26,Serious,2,Two-Wheeler,3,2,Rainy,Village Road,Under Construction,Dark,None,100,29,Female,Valid,No,Curve,15.16046393,80.17209219,6
Uttarakhand,Unknown,2021,July,Sunday,17:53,Fatal,3,Pedestrian,10,0,Foggy,State Highway,Wet,Dawn,None,60,26,Female,None,Yes,Intersection,14.58772037,86.51725248,6
Sikkim,Unknown,2019,May,Monday,03:24,Serious,4,Two-Wheeler,4,0,Clear,Urban Road,Wet,Daylight,Signs,78,38,Female,Expired,No,Curve,34.27128498,79.53023754,4
Puducherry,Unknown,2021,March,Thursday,08:36,Fatal,4,Bus,3,5,Hazy,Urban Road,Under Construction,Daylight,Police Checkpost,84,49,Male,Expired,Yes,Bridge,18.61363857,75.95224087,3
Kerala,Unknown,2019,May,Saturday,15:49,Fatal,4,Car,1,0,Clear,Village Road,Wet,Dusk,Police Checkpost,77,60,Female,None,Yes,Intersection,32.08525699,96.53535179,7
Uttarakhand,Unknown,2023,September,Wednesday,01:36,Serious,5,Truck,5,3,Hazy,State Highway,Dry,Dusk,None,56,41,Male,None,Yes,Intersection,25.0407429,79.87068618,4
Maharashtra,Nagpur,2022,January,Thursday,15:55,Fatal,1,Pedestrian,2,1,Foggy,National Highway,Dry,Daylight,Police Checkpost,75,44,Female,None,Yes,Intersection,29.4599052,93.92887691,4
Manipur,Unknown,2023,May,Saturday,22:55,Minor,4,Car,5,4,Foggy,Urban Road,Dry,Dark,Signals,50,33,Male,None,Yes,Bridge,21.57120151,74.66868357,6
Goa,Unknown,2022,April,Saturday,09:45,Minor,1,Two-Wheeler,2,5,Rainy,National Highway,Under Construction,Dawn,Signals,35,31,Female,None,Yes,Intersection,23.57640488,74.18003642,1
Uttar Pradesh,Lucknow,2021,December,Saturday,05:26,Serious,2,Bus,9,3,Hazy,State Highway,Damaged,Dusk,Police Checkpost,75,52,Female,Expired,No,Curve,21.29797773,68.9028884,2
Kerala,Unknown,2022,February,Wednesday,23:44,Serious,3,Car,6,3,Clear,Village Road,Dry,Daylight,Signals,51,55,Male,Expired,No,Bridge,13.27156067,86.89833794,8
Assam,Unknown,2023,August,Sunday,22:58,Minor,1,Cycle,0,3,Hazy,Village Road,Under Construction,Dawn,Signals,89,34,Female,Valid,Yes,Bridge,27.50620711,78.68726397,5
Assam,Unknown,2019,April,Sunday,07:21,Fatal,1,Bus,3,1,Clear,Urban Road,Damaged,Daylight,Police Checkpost,34,42,Male,Expired,Yes,Straight Road,15.58085379,93.06638925,4
Rajasthan,Udaipur,2020,October,Wednesday,23:42,Minor,5,Bus,7,2,Rainy,National Highway,Wet,Dawn,None,108,53,Male,None,Yes,Intersection,8.656531094,81.72308729,4
Bihar,Unknown,2018,February,Wednesday,04:55,Serious,4,Pedestrian,2,0,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,119,59,Female,Expired,No,Bridge,25.42775199,96.07760941,7
West Bengal,Kolkata,2022,November,Saturday,22:31,Fatal,1,Cycle,7,5,Foggy,National Highway,Dry,Daylight,Signs,111,65,Female,Expired,No,Straight Road,12.78198834,73.38023996,5
Kerala,Unknown,2018,January,Tuesday,05:18,Minor,3,Two-Wheeler,2,3,Stormy,State Highway,Damaged,Dark,Signs,68,26,Female,Valid,No,Straight Road,33.39238178,93.19007187,7
Telangana,Unknown,2020,January,Monday,15:34,Serious,3,Two-Wheeler,3,0,Hazy,Village Road,Wet,Dawn,Signals,30,23,Female,None,No,Curve,33.75607158,90.52130873,9
Assam,Unknown,2023,October,Monday,12:07,Fatal,2,Pedestrian,10,0,Rainy,Urban Road,Dry,Dusk,None,53,31,Male,None,Yes,Curve,32.70133854,90.35673349,4
